Dr. Olivia Martinez,09:30,10:00,11:30,12:00,13:00,15:30
Dr. William Lee,09:00,09:30,10:30,11:00,12:30,13:30,14:00
Dr. Ava Robinson,09:00,10:00,10:30,11:00,14:30,15:00
Dr. Benjamin Clark,09:30,11:00,11:30,12:00,13:00,14:30,16:00
Dr. Mia Lewis,09:00,09:30,10:00,12:00,13:30,14:00,16:30
Dr. Daniel Walker,10:00,10:30,11:30,12:00,13:00,13:30
Dr. Charlotte Young,09:00,10:30,11:00,12:30,13:00,15:00,15:30
Dr. Henry King,09:30,10:00,11:00,12:00,14:00,14:30,16:00
Dr. Aisha Mohammed,09:00,09:30,10:00,11:30,12:00,13:00,14:30,15:30
Dr. Alexander Wright,09:00,10:00,10:30,11:00,12:30,13:30
Dr. Haruto Tanaka,09:30,10:00,11:00,12:00,12:30,14:00,15:00
Dr. Samuel Adams,09:00,09:30,10:30,11:30,13:00,14:00
Dr. Evelyn Baker,10:00,10:30,11:00,11:30,12:00,13:30,14:30
Dr. Priya Sharma,09:00,09:30,10:00,10:30,12:30,13:00,15:00,16:00
Dr. Juan Ramirez,09:30,10:30,11:00,12:00,13:00,14:00
Dr. Camila Torres,09:00,09:30,10:00,11:00,12:30,13:30,14:00
Dr. Diego Fernandez,09:00,10:00,10:30,11:00,12:30,13:00,15:30,16:00
Dr. Lucia Morales,09:30,10:00,11:30,12:00,12:30,13:00
Dr. Grace Hall,09:00,10:00,11:00,12:00,13:30,14:00,15:00
Dr. Lucas Turner,09:30,10:00,11:00,11:30,12:00,13:00,16:30
